"OrdIndex"	"Title"	"Description"	"Location"	"Type"	"Salary"	"lon"	"lat"
"11"	11	"Intelligence Officer - JRN: 13040"	"  Salary: £22,617 - £24,759   Based at: Byker    Applications are sought from members of police staff in relation to an opportunity to join the FIB Intelligence Management Team as an Intelligence officer, working from Byker Police Station.   Role:    A basic understanding of intelligence management is required and we are seeking to recruit a hard working team player, who is quick to learn new skills and can understand and identify risk.  You will need to gather, research, evaluate and assess information/intelligence from various sources in order to contribute to the intelligence function.  Develop intelligence in order to achieve operational aims and objectives. Have the ability to prepare, deliver, attend and conduct intelligence briefings, meetings, reports and debriefings, at all levels, in order to contribute to the intelligence process. Disseminate and receive intelligence and share information force wide, to foreign forces and to partner agencies, in accordance with the relevant procedures, in order to inform operational decision makers. Develop a flexible approach to working, undertaking intelligence cell duties and understanding of subjects allocated, in order to be able to support appropriately operational policing. Be prepared to learn new skills and new systems in order to fulfil all aspects of the role of an Intelligence officer. The shift pattern is Monday – Friday 0800 – 1600 and occasional evening and weekend working is required to cover force wide events.    For further information please refer to the role definition: Intelligence Officer Role Definition.docx   Vetting level: Recruitment level (RV). Applicants must be a resident of the UK for a minimum period of 3 years to ensure vetting checks can be successfully performed.    If you have any queries relating to the role, please contact Detective Sergeant 2974 Emma Dunbar by email at emma.dunbar.2974@northumbria.pnn.police.uk. Interviews will be conducted by Detective Inspector 7886 Beecroft.    This vacancy has been advertised to all staff including those with priority status and therefore applications will be considered in the order outlined in the Redeployment Procedure.    Northumbria Police fully supports a policy of equal opportunities and we welcome applications from suitably qualified people from all sections of the community, regardless of age, disability, gender reassignment, marriage and civil partnership, pregnancy and maternity, race, religion or belief, sex and sexual orientation. Appointments are based on merit alone.   "	"Newcastle upon Tyne"	NA	"£22,617 - £24,759 a year"	-1.6131572	54.9738474
"12"	12	"Advice and Information Officer - Tees Valley"	"   Salary  FTE £20,163 per annum pro rota  Package  Permanent 17.5 hours per week - 25 days annual leave pro rata plus bank holidays, Employee Assistance Helpline, Life Assurance. Voluntary Benefits: Group Pension Plan, Cycle to Work Scheme  Job category/type  Welfare & Advice  Job description  About The Royal British Legion  The Legion is at the heart of a national network that supports our Armed Forces community through thick and thin - ensuring their unique contribution is never forgotten. We've been here since 1921 and we'll be here as long as they need us.  Our Values and Behaviours  Does the following describe you?  A desire to provide a great customer service and support  Enjoy and thrive in working in teams and with others Passionate about supporting the Armed Forces community and honouring their contribution  Come to work each day to be the best you can and to learn and develop  An encourager, eager to share your knowledge and experience to help others If so then we would like to hear from you ....  TRBL Shared Values: Click Here  The Role  We're making big changes. We are becoming more accessible, easier to reach and providing a more integrated service for the Service community. The focus for our Area teams will be on getting out into the community, reaching out to those we support through GP surgeries, hospitals, local authority services and charities we work with, making sure we're accessible to many more people in locations across the country.  As a Royal British Legion Advice and Information Officer for the Northern Area, you will work with individuals eligible for Legion assistance to help them access the right support in a timely and seamless way in areas such as finance, employment, health or housing advice or overcoming temporary crises. You will be based in the south of the area and will spend your time providing advice and information about all aspects of the Legion's work to those living in and around Tees Valley and the wider Northern Area   Accustomed to providing advice and information support to customers, you'll have an understanding of statutory welfare provision and experience of building relationships with a range of different agencies. An excellent communicator with an outgoing personality and strong organisational and planning skills, you will also need good IT skills and be confident in supporting our beneficiaries.   It is essential that you have an empathy with the UK armed forces community and some knowledge and understanding of this area would also be an advantage.   There is a requirement for travel across the Northern Area; therefore, a full driving licence and use of a car is desirable for this role with motor mileage being paid.   Closing date for this role is 31st May 2019   "	"North East"	NA	"£20,163 a year"	-99.5873816	41.7370229
"13"	13	"Sales Assistant"	"   Where a smile meets a giggle, it's the world's greatest place! Smiggle, the world's hottest stationery brand, was born in Melbourne Australia in 2003 and has now made it to the UK & Ireland!  Word is spreading fast about the original creators of colourful, fashion-forward stationery, and all the goodies that fill a Smiggle store. Smiggle products are bold, quirky, good value - and most of all - FUN!  Part of The Just Group - Smiggle now has over 300 stores across Australia, New Zealand, Singapore, Hong Kong & Malaysia.  Our Smiggle Store in Carlisle is looking for a brand new SUPERSTAR Sales Assistant on a part time basis. 4 or 8 hour part time contracts available with the opportunity to flex-up hours when required. Weekend availability a must!!! Flexibility to work shifts throughout the week desired! If you have a fun, bubbly personality, love interacting with our typical Smiggle fans, thrive in a fast-paced environment and have a passion for FUNky stationery then apply online now!   "	"North East"	"Part-time"	NA	-99.5873816	41.7370229
"14"	14	"Customer Service Assistant Level 1"	"We love our customers. They’re just like our Customer Service Assistants – people who want to get on with stuff, get things done and get hands-on too. That’s why they come to our stores for help with all the everyday stuff that makes their world go round. As a Customer Service Assistant, you’ll play a big role in a growing business that’s as ambitious as you are.  Your role as Customer Service Assistant will be all about making sure every customer receives the very best service, every time, at the till or out on the shop floor. Thanks to your warm friendly manner, helpful approach and great product knowledge, customers will keep coming back to us every time they need to tick those to-dos off their list. Taking huge pride in what you do, you’ll make sure that the shop floor looks shipshape, and all of the stock is in the right place and of course, looks its best.  Naturally, we don’t expect you to know Wilko inside and out. Which is why we train and develop our Customer Service Assistants to build the knowledge, confidence and skills they need to be the best and keep our customers smiling. However, you will need a genuine enthusiasm for customer service, the motivation to learn and a real passion for helping people – no matter what they need from us.  We also offer career development opportunities and a great set of benefits.  At Wilko we love nothing more than helping our customers to get stuff done – and supporting our people to grow their skills and career too. With progression opportunities, brilliant training and a great set of benefits, it’s your chance to help shape where our business and your future goes next. So, apply now at wilko.jobs"	"Cramlington "	NA	NA	-1.5932099	55.0902319
"15"	15	"Customer Delivery Driver - Home Shopping"	" Customer Delivery Driver£8.84 Per HourAbout the Role A great customer experience. That's what our drivers are out to deliver. From loading up, fuelling and checking the van for the next route, or giving a customer a call so they know what time their shopping will arrive, everything we do is with our customers in mind. Join our growing delivery team, and you'll be the face of Asda for our home shopping customers. You’re in the driving seat, spending your day greeting our customers and delivering their shopping on-time with lots of Asda personality. When you're not on the road, you'll make sure your van is clean and fit for the next delivery (don't worry, you don’t need to be an expert mechanic – we'll give you all the training you need) and when we're really busy, you’ll be asked to help your in-store team, picking and packing online orders. We’ll work with you on your shifts, but the chances are you’ll have to work some evenings and weekends and we may need to be flexible with your work pattern – there’s something to suit everyone.About You You must have held a full driving licence for at least two years, and be able to drive a 3.5 ton automatic van. You must also have no more than six points on your licence and pass a basic level safeguarding check. When you're on the road, you’ll need to be organised and because you'll be representing Asda, we'll expect you to be an excellent ambassador for the brand. With that in mind, the personal qualities you bring to the role will be every bit as important as your skills and attitude. Friendly and approachable, you'll be the kind of person who'll put our customers first and do whatever it takes to make their home shopping experience the best it can be.Your Benefits Alongside a competitive salary, you’ll get lots of other great benefits too, including 10% off your Asda shopping, the opportunity to become a shareholder as part of our Sharesave scheme, a pension scheme, bonus scheme and discounts across a range of services and activities, from airport parking to theme parks and cinemas. Apply today by completing an online application…"	"Blyth "	"Permanent"	NA	-1.5018084	55.1241236
"16"	16	"Warehouse Operative and Packers and Picker"	" £8.25 - £9.00 an hour We need a Warehouse operative and Picker and Packers Warehouse Operative--Person selected will have multiple responsibilities like Accepting deliveries + Checking the deliveries + displaying the products + filling the shelf To make sure the Warehouse is neat and tidy. Picker and Packers--- Person selected will have multiple responsibilities like picking the stock filling the shelf and packing the orders Person should be good in counting and should have basic knowledge of English and Maths Person should be young energetic and who have a ambition to grow within the company Past experience is not required. Please do mention your date of birth in Your C.V We are based in Newcastle upon Tyne, Tyne and Wear. Appointed candidate will need to start as soon as possible. Job Type: Full-time Salary: £8.25 to £9.00 /hour Location: Newcastle upon Tyne, Tyne and Wear(Preferred) please attach cv when apply Job Types: Full-time, Part-time Experience: customer service: 1 year (Preferred)Location: Newcastle upon Tyne, Tyne and Wear (Preferred)"	"Newcastle upon Tyne"	"Part-time"	"£8.25 - £9.00 an hour"	-1.6131572	54.9738474
"17"	17	"Receptionist Team Member - Part Time - 32 hours per week"	"Travelodge is expanding fast and we now have over 550 hotels. We pride ourselves in giving all of our customers unbeatable value and a quality experience. By joining us as a Reception Team Member, you will be a big part of making this happen. Your job will be to check in and provide a warm welcome to our customers.  At Travelodge we are passionate about supporting your development. All our Reception Team Members have the opportunity to apply to our management training program after being with the company for three months. A large number of our current Hotel Managers, and even District Managers, started their careers as team members. As a Reception Team Membe r you will also enjoy:50% discount on rooms plus food and drink Discounts for friends and family with thousands of rooms at £14.99 £50 voucher on each work anniversary Discounts off many high street retailer and mobile phone providers Typical shifts are 7am to 3pm or 3pm to 11pm Pension scheme totalling 8% (employer contribution 3%)  At Travelodge, we value your attitude and character as much as your experience. The behaviours that are most important to us are Care About People , Attention to Detail and Drive for Results. We respect the contribution made by every employee and always try to recognise those who go ‘above and beyond’.  If you feel you would enjoy a Reception Team Member role then please click ‘apply’ now. We’d love to hear from you."	"Newcastle upon Tyne "	"Part-time"	"£8.21 an hour"	-1.6131572	54.9738474
"18"	18	"General Sales Assistant"	" Why Matalan Working at Matalan is exciting, challenging, and fast paced! Our vision is to be the most trusted retailer of family value and we take this pretty seriously. We’re one big family here at Matalan and as part of that family you can expect some great benefits and opportunities to develop your career, including: 20% Staff discount Our Family Extras Scheme - An exclusive discount website, which you as a valued member of our Matalan Family, can access and save money at hundreds of retailers across the country Pension Scheme Access to our ‘Your Voice’ forum allowing you to share your views and ideas We are fully committed to creating a learning culture in all our stores so from day one you’ll get a great induction, access to our ‘Me Learning’ online platform and ongoing support and development to help you grow within your role About The Role As a Sales Assistant we want you to deliver an easy, efficient and reliable service, our customers are at the heart of everything we do and you’ll play a key role in demonstrating this to them. You will be involved day to day in achieving our sales whilst living our Matalan Values So if you’re looking to join a high performing, energetic and adaptable team and want to have some fun along the way, a Sales Assistant role with Matalan could be just what you are looking for! About Matalan To be part of our team, we’d like you to.... Be hard working, committed and loyal Be a confident communicator that enjoys working with customers Self motivated, know how to keep yourself engaged and speak out if you can suggest improvements in store Be flexible, supportive and always willing to go the extra mile This is your opportunity to be part of something new and exciting at Matalan and to grow your career with one of the UK’s leading Retailers. This is Retail Made Real. In the event that a high volume of suitable applications are received, the post may close prior to the specified closing date. Please apply as soon as possible if interested. "	"Newcastle upon Tyne "	"Part-time"	NA	-1.6131572	54.9738474
"19"	19	"Store Assistant"	" Store Assistant – Days£8.84 Per HourAbout the Role There’s a role for everyone in retail - from serving our customers, perfecting pizzas, unpacking deliveries or filling shelves. Wherever you are, we put our customers first with excellent service, welcoming stores and ‘extra special’ products – we work as a team to maximise sales and deliver a great shopping trip. We’ll help you to become a star colleague from learning about food safety to making sure our customers are served with a smile. If you’re looking for flexible working or a chance to develop in retail, this could be the role for you! We’ll work with you on your shifts, but the chances are you’ll have to work some evenings and weekends and we may need to be flexible with your work pattern – there’s something to suit everyone.About You You’ll be naturally friendly and want to get stuck in, working with your team to deliver great results. You’ll have an enthusiastic approach to learning new skills across different departments. You care about giving customers a great shopping experience, helping them find what they need and having a chat along the way.Your Benefits Alongside a competitive salary, you’ll get lots of other great benefits too, including 10% off your Asda shopping, incentive schemes, the opportunity to become a shareholder as part of our Sharesave scheme, a pension scheme, bonus scheme and discounts across a range of services and activities, from airport parking to theme parks and cinemas. Apply today by completing an online application…"	"Seaham "	"Part-time, Temporary"	NA	-1.3355612	54.8372106
"20"	20	"Picker/Packer Warehouse"	" Temporary £8.21 an hour Based centrally in Newcastle upon Tyne, my client urgently requires a Warehouse Operative to pick, pack and dispatch goods. The working hours are 8am to 5pm from Monday to Friday with occasional overtime on Saturday. The successful candidate will be numerate, literate, have basic computer skills and previous order picking experience. A reasonable level of physical fitness is involved as there will be prolonged standing and some lifting. Working in a clean and well appointed warehouse environment this is an ongoing temporary position with an Immediate start with a rate of pay of £8.21 per hour. Job Type: Temporary Salary: £8.21 /hour Location: Newcastle upon Tyne(Preferred) please attach cv when apply Job Types: Full-time, Part-time, Temporary Location: Newcastle upon Tyne, Tyne and Wear (Preferred)"	"Newcastle upon Tyne"	"Part-time, Temporary"	"£8.21 an hour"	-1.6131572	54.9738474
"21"	21	"Warehouse Picker/Packer"	" Warehouse Picker/Packer We are looking for an enthusiastic warehouse picker and packer to join our expanding team. Day to day responsibilities include scan and dispatch, picking and packing, stock taking, speaking with customers via email and helping the warehouse team with other duties as required. Role Summary You will be working 7.30am to 3.30pm, Monday to Friday at our offices in North Shields, Tyne & Wear. Enjoy a fantastic work life balance with a chance to miss the rush hour traffic. Your role is to manage our significant inventory, ensuring that all orders are dispatched on time. In addition, you will be helping the team to administer stock control, planning new orders with our suppliers and maintaining accurate records for the business. You will have the chance to take part in warehouse projects e.g. campaigns and launches. You will be in constant communication with our supplier ensuring stock is shipped quickly and efficiently.  Organisational Skills: You’ll be involved in dispatch - can you help organise a warehouse to make sure that our customers always receive their products efficiently?  IT Knowledge: The ideal candidate will have a knowledge of stock control systems and some experience working in an e-commerce warehouse. It’s not an absolute requirement - but it will help you hit the ground running.  Attention to Detail: Being involved in shipping products and managing new orders from our suppliers, we need a candidate who sticks to every deadline they set. The ideal candidate will work efficiently but accurately, ensuring delivery deadlines are always met.  Intelligence: This position requires ongoing contact and relationship building with some of the biggest companies in the drone industry. You’ll need to work hard to ensure that Heliguy is always fully stocked of key lines and that we keep building strong relationships with our suppliers.  Passion: We want everyone who works here to have a real passion for what we do. Part of the reason that our customers come back to us time and time again is that we display this passion publicly from every area of the business, our warehouse should be no different. Essential Based in North-East UK Excellent communicator Ability to manoeuvre stock by hand Tenacity – to help identify improvements to the workplace Bonus Skills Previous warehouse experience Understanding of Import Tariffs Benefits Staff discount on all our products. Fantastic work life balance Free tea and coffee Opportunity to get involved in flying and using drones 28 days holiday (including bank holidays) Opportunities for career progression and development Social events paid by the company On the job training will be provided Job Offer Competitive Salary Job Type: Full-time Job Types: Full-time, Part-time, Contract, Permanent Location: North Shields, Tyne and Wear (Preferred)"	"North Shields"	"Part-time, Contract, Permanent"	NA	-1.4451288	55.0093149
"22"	22	"Customer Assistant"	"Job Introduction Tesco will only recruit individuals who have passed the school leavers age. To find out the school leavers age for your country please visit the following link; https://www.gov.uk/know-when-you-can-leave-school  Please note that we can only accept candidates over the age of 18 if the role requires working before 6am or after 10pm or involves working in areas such as the Backdoor, Beers Wines & Spirits, Counters or the Colleague Restaurant.  Should you be successful in your application, your offer will be subject to and conditional upon you providing your bank account details before your agreed start date.  Main Responsibilities Customers are at the heart of everything we do. It takes lots of different people to run a store and this is a job for doers, with plenty of variety. Within one shift you could be guiding a customer to a product, serving on the checkouts, helping to fill shelves, taking a delivery or moving stock around the warehouse.  It’s a committed role, full of everyday challenges, but that’s one of the things that makes it so rewarding.  Whether you are looking for flexibility to suit your lifestyle or the opportunity to progress your career, this can be the role for you.  The Ideal Candidate You’ll be someone with great communication skills and works well in a team, while being ready to roll up your sleeves and do what’s needed to give our customers great service.  We’ll be depending on you, as the face of Tesco, to Serve Britain’s Shoppers a Little Better Everyday:  Get to know your customers, greet them with a smile and serve them with pride Take time to listen, and help out wherever you can Make decisions that are right for our customers Be passionate and knowledgeable about our products and services Always be there, on time and properly presented.  We’re proud to have an inclusive culture at Tesco where everyone is welcome and truly feels able to be themselves. Our aim is to attract and welcome a diverse range applicants from all walks of life to help improve and develop our team every day.  About The Company Our business was built with a simple mission – to be the champion for customers, helping them to enjoy a better quality of life and an easier way of living. This hasn't changed. Customers want great products at great value which they can buy easily and it's our job to deliver this in the right way for them.  Benefits Package  Colleague Discount Card (including a second card for a family member) after 6 months service with 10% off most purchases at Tesco. An annual bonus scheme where you could achieve up to 3.5% of eligible 2017/18 earnings. Childcare Vouchers Share Schemes Deals & Discounts through Tesco including Tesco Mobile & Tesco Bank Deals and Discounts through many other external businesses Sunday and Out of Hours premiums available  For more information, please go to www.tescoplc.com"	"Newcastle upon Tyne "	NA	NA	-1.6131572	54.9738474
"23"	23	"Events Officer"	"Closing Date: 2 June 2019 Based in the Corporate Affairs Directorate, you will work as a member of the Advancement Operations Team. Drawing on your knowledge of event management within a large organisation and understanding of alumni engagement and fundraising, you will deliver a range of alumni and supporter engagement activities. These activities will support the work of the Alumni Engagement and Philanthropy teams. You will have excellent organisational skills and attention to detail, as well as excellent oral and written communication skills and experience of working quickly and accurately to tight deadlines. For further information on this post please contact Chris Ham (Database and Analytics Manager) on 0191 208 5049 or via email chris.ham@ncl.ac.uk This post is fixed term post from 19 July 2019 up to 12 October 2020. Newcastle University is committed to being a fully inclusive Global University which actively recruits, supports and retains staff from all sectors of society. We value diversity as well as celebrate, support and thrive on the contributions of all our employees and the community they represent. We are proud to be an equal opportunities employer and encourage applications from everybody, regardless of race, sex, ethnicity, religion, nationality, sexual orientation, age, disability, gender identity, marital status/civil partnership, pregnancy and maternity, as well as being open to flexible working practices"	"Newcastle upon Tyne"	NA	"£21,414 - £22,658 a year"	-1.6131572	54.9738474
